Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Automated_topic_id,Filename
0.008490493521094322,0.7533160448074341,0.01659037172794342,0.040500253438949585,0.07408415526151657,0.10701864212751389,1,va-powhatancounty_civicplus_06112020-771.txt
0.025386868044734,0.8024052977561951,0.04130440577864647,0.10948890447616577,0.011880160309374332,0.00953435618430376,1,tx-galveston2_civicplus_06112020-3436.txt
0.14657598733901978,0.7736082673072815,0.028429249301552773,0.02241147682070732,0.016162553802132607,0.012812496162950993,1,nm-lascruces_civicplus_06092020-666.txt
0.0765639916062355,0.6171137690544128,0.08135741204023361,0.07608051598072052,0.08140543848276138,0.06747887283563614,1,il-vernontownship_civicplus_06112020-177.txt
0.9986574053764343,4.888371404376812e-05,9.315235365647823e-05,4.5952787331771106e-05,0.0007424289360642433,0.0004121668462175876,0,wi-riverfalls_civicplus_06092020-908.txt
0.007118077948689461,0.4021330177783966,0.011843092739582062,0.09101217240095139,0.46829378604888916,0.019599804654717445,4,ct-bristol2_civicplus_06102020-4264.txt
0.028678424656391144,0.8855187296867371,0.02196323499083519,0.023377930745482445,0.029473358765244484,0.010988332331180573,1,ma-hingham_civicplus_06112020-5604.txt
0.06687677651643753,0.7830789685249329,0.11256147921085358,0.01570913940668106,0.0125571358948946,0.009216485545039177,1,ma-lincoln2_civicplus_06132020-3498.txt
0.009095151908695698,0.6290718913078308,0.023296460509300232,0.008765933103859425,0.3229568898677826,0.006813713349401951,1,ut-kaysville_civicplus_06112020-516.txt
0.031867142766714096,0.8594239354133606,0.028888214379549026,0.028298694640398026,0.02749977447092533,0.02402224764227867,1,wi-walworthcounty_civicplus_06092020-1018.txt
0.04040152579545975,0.7052723169326782,0.21462687849998474,0.008082378655672073,0.024071771651506424,0.007545142900198698,1,wv-fairmont_civicplus_06102020-402.txt
0.005434636026620865,0.9639559388160706,0.009320231154561043,0.004797001834958792,0.012796277180314064,0.003695923835039139,1,ma-everett_civicplus_06092020-1583.txt
0.009735367260873318,0.9413607716560364,0.012798325158655643,0.018679821863770485,0.010210077278316021,0.007215648423880339,1,ma-nantucket_civicplus_06102020-8590.txt
0.009733375161886215,0.8565189242362976,0.015691706910729408,0.009231317788362503,0.09935561567544937,0.009469101205468178,1,ut-summitcounty_civicplus_06092020-2446.txt
0.011485820636153221,0.9405658841133118,0.013873950578272343,0.01292851660400629,0.010704376734793186,0.010441478341817856,1,ca-contracostacounty2_civicplus_06102020-2717.txt
0.04594452306628227,0.7333574891090393,0.07757224142551422,0.10654844343662262,0.02252381667494774,0.014053469523787498,1,nj-rockaway_civicplus_06102020-676.txt
0.005651684012264013,0.821821391582489,0.07466152310371399,0.00313087017275393,0.09071183204650879,0.004022747743874788,1,nc-wrightsvillebeach_civicplus_06112020-329.txt
0.004754242487251759,0.9420239329338074,0.007538513280451298,0.0030816353391855955,0.040366195142269135,0.002235500607639551,1,ca-saratoga_civicplus_06102020-649.txt
0.01868377812206745,0.7655205726623535,0.0332854762673378,0.02146117575466633,0.022132284939289093,0.1389167159795761,1,co-arapahoecounty2_civicplus_06092020-2107.txt
0.09508919715881348,0.7648727893829346,0.031746432185173035,0.08890752494335175,0.013645327650010586,0.005738763138651848,1,va-colonialheights2_civicplus_06092020-402.txt
0.07478178292512894,0.7871531248092651,0.11132417619228363,0.011264552362263203,0.010744874365627766,0.004731553606688976,1,ct-bristol_civicplus_06092020-4263.txt
0.013416135683655739,0.920156717300415,0.025649672374129295,0.010091871954500675,0.013927210122346878,0.016758358106017113,1,ca-placercounty_civicplus_06092020-3357.txt
0.13606388866901398,0.35716548562049866,0.1306324452161789,0.127495676279068,0.12403044104576111,0.12461208552122116,1,ct-clinton_civicplus_06102020-5655.txt
0.014915956184267998,0.8002219796180725,0.02085503563284874,0.009897100739181042,0.08995474129915237,0.06415518373250961,1,vt-winooski_civicplus_06112020-665.txt
0.02144787088036537,0.780930757522583,0.025706173852086067,0.07769948244094849,0.08387742191553116,0.010338254272937775,1,ia-floydcounty_civicplus_06092020-923.txt
0.03521699085831642,0.7662587761878967,0.12390316277742386,0.010053165256977081,0.05568946525454521,0.008878394030034542,1,wi-mountpleasant_civicplus_06112020-333.txt
0.029512692242860794,0.8176007270812988,0.04046197235584259,0.03372783958911896,0.0514017716050148,0.02729504555463791,1,fl-davie_civicplus_06092020-690.txt
0.02000892348587513,0.8930604457855225,0.04734821990132332,0.008924605324864388,0.016225511208176613,0.014432298019528389,1,mo-bluesprings2_civicplus_06152020-1402.txt
0.007835314609110355,0.0437028743326664,0.4631386399269104,0.409750759601593,0.07499144226312637,0.000581010477617383,2,tx-westuniversityplace_civicplus_06112020-788.txt
0.005907860584557056,0.743358314037323,0.07410099357366562,0.005299460608512163,0.16576912999153137,0.005564200226217508,1,md-universitypark_civicplus_06112020-470.txt
0.024962779134511948,0.9284133911132812,0.02042231336236,0.009155926294624805,0.008568101562559605,0.008477541618049145,1,nc-sanford_civicplus_06092020-499.txt
0.020891480147838593,0.24871045351028442,0.6545432209968567,0.019459929317235947,0.04015151038765907,0.016243407502770424,2,nj-eastamwelltownship_civicplus_06102020-737.txt
0.01726982370018959,0.9245540499687195,0.050004832446575165,0.004749605897814035,0.002214322332292795,0.001207365421578288,1,ca-cloverdale_civicplus_06102020-927.txt
0.4003416895866394,0.5570566654205322,0.015911264345049858,0.011141299270093441,0.008731379173696041,0.0068177590146660805,1,nj-franklintownshipgloucester_civicplus_06092020-540.txt
