Topic1,Topic2,Topic3,Topic4,Automated_topic_id,Filename
0.4584236443042755,0.10716526955366135,0.3456704616546631,0.08874063193798065,0,va-powhatancounty_civicplus_06112020-771.txt
0.8390902876853943,0.1369677037000656,0.01045636460185051,0.013485642150044441,0,tx-galveston2_civicplus_06112020-3436.txt
0.8870915770530701,0.0726349875330925,0.021805202588438988,0.018468229100108147,0,nm-lascruces_civicplus_06092020-666.txt
0.6471154689788818,0.18172430992126465,0.08900383114814758,0.08215638995170593,0,il-vernontownship_civicplus_06112020-177.txt
8.484191494062543e-05,9.513738768873736e-05,7.410756370518357e-05,0.9997459053993225,3,wi-riverfalls_civicplus_06092020-908.txt
0.9670225381851196,0.006099684629589319,0.012334232218563557,0.014543588273227215,0,ct-bristol2_civicplus_06102020-4264.txt
0.9117515683174133,0.0167734045535326,0.015955613926053047,0.05551942437887192,0,ma-hingham_civicplus_06112020-5604.txt
0.9562612771987915,0.01750495471060276,0.008790658786892891,0.017443081364035606,0,ma-lincoln2_civicplus_06132020-3498.txt
0.75553959608078,0.011050084605813026,0.010445934720337391,0.22296439111232758,0,ut-kaysville_civicplus_06112020-516.txt
0.7994855642318726,0.1331741213798523,0.03657042607665062,0.03076993301510811,0,wi-walworthcounty_civicplus_06092020-1018.txt
0.9613603353500366,0.010043282061815262,0.012793508358299732,0.015802843496203423,0,wv-fairmont_civicplus_06102020-402.txt
0.9878612756729126,0.0042613595724105835,0.003897343296557665,0.003979975823312998,0,ma-everett_civicplus_06092020-1583.txt
0.9697120785713196,0.012050767429172993,0.009649022482335567,0.008588124066591263,0,ma-nantucket_civicplus_06102020-8590.txt
0.962949812412262,0.011160211637616158,0.011948187835514545,0.013941786251962185,0,ut-summitcounty_civicplus_06092020-2446.txt
0.9641036987304688,0.012686586938798428,0.011873646639287472,0.011336088180541992,0,ca-contracostacounty2_civicplus_06102020-2717.txt
0.882564902305603,0.08396143466234207,0.016904672607779503,0.016568968072533607,0,nj-rockaway_civicplus_06102020-676.txt
0.958512008190155,0.0032766705844551325,0.03307979553937912,0.005131547339260578,0,nc-wrightsvillebeach_civicplus_06112020-329.txt
0.9906868934631348,0.0029620728455483913,0.0025561098009347916,0.0037949425168335438,0,ca-saratoga_civicplus_06102020-649.txt
0.9364250898361206,0.020101556554436684,0.025742344558238983,0.017731059342622757,0,co-arapahoecounty2_civicplus_06092020-2107.txt
0.8003003597259521,0.1569799929857254,0.03274480625987053,0.009974868968129158,0,va-colonialheights2_civicplus_06092020-402.txt
0.5387863516807556,0.3999624252319336,0.04928812384605408,0.011963141150772572,0,ct-bristol_civicplus_06092020-4263.txt
0.920115053653717,0.011227278038859367,0.04046885296702385,0.028188860043883324,0,ca-placercounty_civicplus_06092020-3357.txt
0.47464972734451294,0.18184086680412292,0.1705196499824524,0.17298975586891174,0,ct-clinton_civicplus_06102020-5655.txt
0.8311866521835327,0.01290725264698267,0.013806450180709362,0.14209963381290436,0,vt-winooski_civicplus_06112020-665.txt
0.8223581910133362,0.07507656514644623,0.09011441469192505,0.012450862675905228,0,ia-floydcounty_civicplus_06092020-923.txt
0.8154054880142212,0.01510534156113863,0.1598300039768219,0.009659215807914734,0,wi-mountpleasant_civicplus_06112020-333.txt
0.8967632055282593,0.03726582229137421,0.034494224935770035,0.0314767062664032,0,fl-davie_civicplus_06092020-690.txt
0.9741228818893433,0.009390692226588726,0.007964273914694786,0.00852214079350233,0,mo-bluesprings2_civicplus_06152020-1402.txt
0.6635578870773315,0.0801611840724945,0.19224604964256287,0.06403490900993347,0,tx-westuniversityplace_civicplus_06112020-788.txt
0.6205677390098572,0.010561256669461727,0.3597796559333801,0.009091387502849102,0,md-universitypark_civicplus_06112020-470.txt
0.9590075612068176,0.011054889298975468,0.011134934611618519,0.018802659586071968,0,nc-sanford_civicplus_06092020-499.txt
0.9163901805877686,0.019812293350696564,0.04495741054415703,0.01884017139673233,0,nj-eastamwelltownship_civicplus_06102020-737.txt
0.9842672944068909,0.00857972539961338,0.004643685650080442,0.002509313402697444,0,ca-cloverdale_civicplus_06102020-927.txt
0.9618198275566101,0.019407404586672783,0.010662345215678215,0.008110372349619865,0,nj-franklintownshipgloucester_civicplus_06092020-540.txt
0.8417599201202393,0.12037571519613266,0.0176701657474041,0.020194267854094505,0,tx-kemah_civicplus_06102020-443.txt
0.2638595402240753,0.3787491023540497,0.00346708414144814,0.3539242148399353,1,la-shreveport_civicplus_06092020-967.txt
0.9637703895568848,0.01674218662083149,0.00505910674110055,0.01442833710461855,0,ma-lincoln2_civicplus_06112020-3497.txt
0.9666343927383423,0.010345864109694958,0.009955211542546749,0.013064520433545113,0,oh-athens2_civicplus_06092020-999.txt
0.8514189124107361,0.01993713527917862,0.03394370153546333,0.09470027685165405,0,mo-poplarbluff_civicplus_06112020-1815.txt
0.03175872191786766,0.9049617052078247,0.05003238841891289,0.013247194699943066,1,ks-derbyreccommission2_civicplus_06092020-151.txt
0.9310329556465149,0.053291723132133484,0.007767056114971638,0.007908234372735023,0,az-lapazcounty_civicplus_06102020-825.txt
0.9322206974029541,0.02001589722931385,0.03429391235113144,0.013469530269503593,0,nh-lebanon_civicplus_06102020-2184.txt
0.9691063165664673,0.010442690923810005,0.009556235745549202,0.01089472696185112,0,ma-middleton_civicplus_06122020-1668.txt
0.6417154669761658,0.006007183808833361,0.22911909222602844,0.12315831333398819,0,wa-bothell_civicplus_06092020-607.txt
0.9903292655944824,0.002825350733473897,0.003866229671984911,0.002979184500873089,0,me-kennebunk2_civicplus_06102020-2403.txt
