Topic1,Topic2,Topic3,Topic4,Topic5,Automated_topic_id,Filename
0.00449977396056056,0.6883534789085388,0.2843238413333893,0.018081702291965485,0.004741237498819828,1,va-powhatancounty_civicplus_06112020-771.txt
0.14511215686798096,0.017960703000426292,0.5595710277557373,0.12512706220149994,0.15222902595996857,2,tx-galveston2_civicplus_06112020-3436.txt
0.02599508687853813,0.4385055899620056,0.19560152292251587,0.01664140447974205,0.32325640320777893,1,nm-lascruces_civicplus_06092020-666.txt
0.1936521679162979,0.12915313243865967,0.45732036232948303,0.0801967903971672,0.13967753946781158,2,il-vernontownship_civicplus_06112020-177.txt
0.0008386928238905966,0.00018951833772007376,0.000261671346379444,0.9979773163795471,0.000732762273401022,3,wi-riverfalls_civicplus_06092020-908.txt
0.010198913514614105,0.00630617793649435,0.7033816576004028,0.00941384769976139,0.2706994116306305,2,ct-bristol2_civicplus_06102020-4264.txt
0.06448959559202194,0.04328920319676399,0.7775228023529053,0.04978262633085251,0.0649157464504242,2,ma-hingham_civicplus_06112020-5604.txt
0.05888644605875015,0.2535676956176758,0.6446829438209534,0.03153624385595322,0.01132664643228054,2,ma-lincoln2_civicplus_06132020-3498.txt
0.0176780354231596,0.008195742033421993,0.9402470588684082,0.008570505306124687,0.02530861645936966,2,ut-kaysville_civicplus_06112020-516.txt
0.061237581074237823,0.19111859798431396,0.48154452443122864,0.028315996751189232,0.23778332769870758,2,wi-walworthcounty_civicplus_06092020-1018.txt
0.3101992607116699,0.013018046505749226,0.20477329194545746,0.011234782636165619,0.46077463030815125,4,wv-fairmont_civicplus_06102020-402.txt
0.006815895438194275,0.004876258783042431,0.9770126342773438,0.0041664824821054935,0.007128688972443342,2,ma-everett_civicplus_06092020-1583.txt
0.013019022531807423,0.01888715848326683,0.9481310844421387,0.00884213950484991,0.011120646260678768,2,ma-nantucket_civicplus_06102020-8590.txt
0.011952502653002739,0.012076029554009438,0.8941710591316223,0.010479545220732689,0.0713207945227623,2,ut-summitcounty_civicplus_06092020-2446.txt
0.016425736248493195,0.16517873108386993,0.5712382793426514,0.012301436625421047,0.2348557710647583,2,ca-contracostacounty2_civicplus_06102020-2717.txt
0.29649174213409424,0.07806441932916641,0.576549768447876,0.016130266711115837,0.032763849943876266,2,nj-rockaway_civicplus_06102020-676.txt
0.21943895518779755,0.07317978888750076,0.6692400574684143,0.008448855951428413,0.02969234064221382,2,nc-wrightsvillebeach_civicplus_06112020-329.txt
0.009991979226469994,0.006691664457321167,0.6503767371177673,0.003285063896328211,0.32965460419654846,2,ca-saratoga_civicplus_06102020-649.txt
0.028743062168359756,0.08160963654518127,0.8223220109939575,0.027586795389652252,0.03973845764994621,2,co-arapahoecounty2_civicplus_06092020-2107.txt
0.3736168444156647,0.23443669080734253,0.36375734210014343,0.01017378643155098,0.018015285953879356,0,va-colonialheights2_civicplus_06092020-402.txt
0.10473763942718506,0.2577444016933441,0.2834850251674652,0.006834823172539473,0.3471980690956116,4,ct-bristol_civicplus_06092020-4263.txt
0.029645677655935287,0.23804490268230438,0.3165549337863922,0.028523359447717667,0.38723108172416687,4,ca-placercounty_civicplus_06092020-3357.txt
0.1517350673675537,0.15080226957798004,0.3779495358467102,0.1526976376771927,0.16681548953056335,2,ct-clinton_civicplus_06102020-5655.txt
0.02319146879017353,0.02258731611073017,0.7229479551315308,0.09404220432043076,0.1372310221195221,2,vt-winooski_civicplus_06112020-665.txt
0.06164824962615967,0.1552247405052185,0.7568084597587585,0.011910760775208473,0.014407746493816376,2,ia-floydcounty_civicplus_06092020-923.txt
0.05807541310787201,0.023609483614563942,0.88869708776474,0.009701883420348167,0.01991610787808895,2,wi-mountpleasant_civicplus_06112020-333.txt
0.04635262489318848,0.15064692497253418,0.7312208414077759,0.02998104691505432,0.04179852828383446,2,fl-davie_civicplus_06092020-690.txt
0.1535191386938095,0.007769754156470299,0.7907354831695557,0.009748541750013828,0.038227058947086334,2,mo-bluesprings2_civicplus_06152020-1402.txt
0.8181313276290894,0.0009775381768122315,0.10234666615724564,0.0007993599865585566,0.07774513959884644,0,tx-westuniversityplace_civicplus_06112020-788.txt
0.015368855558335781,0.01026994176208973,0.9480648636817932,0.005284636747092009,0.021011672914028168,2,md-universitypark_civicplus_06112020-470.txt
0.29130953550338745,0.02481367625296116,0.5511451363563538,0.012278868816792965,0.12045273184776306,2,nc-sanford_civicplus_06092020-499.txt
0.02253091149032116,0.020101187750697136,0.5966635942459106,0.33088693022727966,0.029817314818501472,2,nj-eastamwelltownship_civicplus_06102020-737.txt
0.2622455060482025,0.02375122904777527,0.35083815455436707,0.0018700102809816599,0.3612951338291168,4,ca-cloverdale_civicplus_06102020-927.txt
0.015537564642727375,0.04336310178041458,0.20130494236946106,0.008756170980632305,0.7310382723808289,4,nj-franklintownshipgloucester_civicplus_06092020-540.txt
0.42314332723617554,0.07087727636098862,0.4332203269004822,0.02904685214161873,0.04371223598718643,2,tx-kemah_civicplus_06102020-443.txt
0.12300503998994827,0.0031090101692825556,0.011018830351531506,0.15310510993003845,0.7097620368003845,4,la-shreveport_civicplus_06092020-967.txt
0.009514943696558475,0.1367015838623047,0.8124346137046814,0.03436418995261192,0.006984669249504805,2,ma-lincoln2_civicplus_06112020-3497.txt
0.01092024426907301,0.009158970788121223,0.9559419751167297,0.00868845172226429,0.015290295705199242,2,oh-athens2_civicplus_06092020-999.txt
0.052629221230745316,0.027899038046598434,0.3262884318828583,0.020005982369184494,0.5731773376464844,4,mo-poplarbluff_civicplus_06112020-1815.txt
