Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Automated_topic_id,Filename
0.009292680770158768,0.0034558130428195,0.05030383914709091,0.49529385566711426,0.0091750118881464,0.0041125137358903885,0.10664119571447372,0.07922039926052094,0.24250465631484985,3,va-powhatancounty_civicplus_06112020-771.txt
0.010363852605223656,0.010318940505385399,0.011582997627556324,0.05358196422457695,0.014651604928076267,0.8701648712158203,0.008953941985964775,0.010722565464675426,0.009659245610237122,5,tx-galveston2_civicplus_06112020-3436.txt
0.012598360888659954,0.22300298511981964,0.05248909816145897,0.5209991335868835,0.01913975179195404,0.11791953444480896,0.01155325211584568,0.029630178585648537,0.012667697854340076,3,nm-lascruces_civicplus_06092020-666.txt
0.059527020901441574,0.06410162150859833,0.06787684559822083,0.3002130091190338,0.06282138079404831,0.26326993107795715,0.05739457532763481,0.06120410934090614,0.06359153240919113,3,il-vernontownship_civicplus_06112020-177.txt
0.00013516473700292408,6.221724470378831e-05,6.522267358377576e-05,7.71291961427778e-05,0.9993406534194946,6.666353874607012e-05,7.699240086367354e-05,9.172852151095867e-05,8.424504630966112e-05,4,wi-riverfalls_civicplus_06092020-908.txt
0.4787626266479492,0.008968154899775982,0.005203393287956715,0.4501628577709198,0.006717849522829056,0.025327714160084724,0.009813139215111732,0.008204538375139236,0.006839711219072342,0,ct-bristol2_civicplus_06102020-4264.txt
0.024758385494351387,0.016123680397868156,0.03056952729821205,0.759086012840271,0.034757450222969055,0.09835147112607956,0.01071186549961567,0.01029792707413435,0.015343704260885715,3,ma-hingham_civicplus_06112020-5604.txt
0.010969138704240322,0.01009458675980568,0.014827915467321873,0.8182972073554993,0.037820931524038315,0.08542193472385406,0.007700088433921337,0.007253009360283613,0.00761514762416482,3,ma-lincoln2_civicplus_06132020-3498.txt
0.056717436760663986,0.2898309826850891,0.00689209857955575,0.35732054710388184,0.008113550953567028,0.2565370500087738,0.006978106219321489,0.008589019067585468,0.009021159261465073,3,ut-kaysville_civicplus_06112020-516.txt
0.025554856285452843,0.026692397892475128,0.025346029549837112,0.692133367061615,0.02787773683667183,0.10857852548360825,0.021980581805109978,0.025097809731960297,0.04673875868320465,3,wi-walworthcounty_civicplus_06092020-1018.txt
0.016181547194719315,0.009196111001074314,0.006609249394387007,0.013686498627066612,0.010553819127380848,0.9097169041633606,0.00650828005746007,0.01809973083436489,0.009447853080928326,5,wv-fairmont_civicplus_06102020-402.txt
0.011160560883581638,0.004964597523212433,0.003814379218965769,0.8502785563468933,0.004759681411087513,0.11275900900363922,0.0035149422474205494,0.005248067434877157,0.0035001535434275866,3,ma-everett_civicplus_06092020-1583.txt
0.00945636723190546,0.009103267453610897,0.02644484117627144,0.9020177125930786,0.00909528136253357,0.01540308352559805,0.007386138197034597,0.010699390433728695,0.010393969714641571,3,ma-nantucket_civicplus_06102020-8590.txt
0.03323844075202942,0.010831761173903942,0.008848126977682114,0.14481927454471588,0.008401921950280666,0.7581835985183716,0.008412004448473454,0.016241399571299553,0.0110235046595335,5,ut-summitcounty_civicplus_06092020-2446.txt
0.02086157724261284,0.025716127827763557,0.01621309667825699,0.6065821051597595,0.01732221059501171,0.2801685333251953,0.00998496450483799,0.011974555440247059,0.011176781728863716,3,ca-contracostacounty2_civicplus_06102020-2717.txt
0.032661549746990204,0.016690347343683243,0.04018843546509743,0.4199009835720062,0.01632942631840706,0.3479067087173462,0.08693355321884155,0.016437726095318794,0.022951262071728706,3,nj-rockaway_civicplus_06102020-676.txt
0.0554707832634449,0.0026861310470849276,0.003343043150380254,0.18024905025959015,0.0043395403772592545,0.6228890419006348,0.002072276547551155,0.04700469225645065,0.08194544166326523,5,nc-wrightsvillebeach_civicplus_06112020-329.txt
0.015236021019518375,0.0029522713739424944,0.0026974244974553585,0.16976715624332428,0.002877893391996622,0.7987328171730042,0.0022354586981236935,0.0030969949439167976,0.002404013881459832,5,ca-saratoga_civicplus_06102020-649.txt
0.03665240481495857,0.01906149834394455,0.01695833168923855,0.6724526286125183,0.016811005771160126,0.1668701022863388,0.03246181085705757,0.022718308493494987,0.016013897955417633,3,co-arapahoecounty2_civicplus_06092020-2107.txt
0.026803642511367798,0.011742943897843361,0.017533855512738228,0.12407157570123672,0.011949879117310047,0.7623317837715149,0.00512417359277606,0.024941911920905113,0.015500287525355816,5,va-colonialheights2_civicplus_06092020-402.txt
0.006370821036398411,0.07418745011091232,0.014876841567456722,0.5417994856834412,0.017550619319081306,0.24852265417575836,0.005144367925822735,0.005602606572210789,0.08594512194395065,3,ct-bristol_civicplus_06092020-4263.txt
0.043881598860025406,0.009229994378983974,0.018186012282967567,0.8613290786743164,0.017391882836818695,0.012282046489417553,0.008542189374566078,0.010990001261234283,0.01816721446812153,3,ca-placercounty_civicplus_06092020-3357.txt
0.09090450406074524,0.09774583578109741,0.09110462665557861,0.2200339287519455,0.09927041083574295,0.12233191728591919,0.09077698737382889,0.09217008203268051,0.09566167742013931,3,ct-clinton_civicplus_06102020-5655.txt
0.030607303604483604,0.014454466290771961,0.009135905653238297,0.625485360622406,0.013845518231391907,0.054506566375494,0.058464229106903076,0.17687207460403442,0.01662852056324482,3,vt-winooski_civicplus_06112020-665.txt
0.05128364637494087,0.022306272760033607,0.010422793217003345,0.32456862926483154,0.01314148772507906,0.3411186635494232,0.007972152903676033,0.10278645902872086,0.12639987468719482,5,ia-floydcounty_civicplus_06092020-923.txt
