Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Automated_topic_id,Filename
0.3296263813972473,0.585615336894989,0.02605654112994671,0.012146958149969578,0.007381627336144447,0.015680311247706413,0.02349289134144783,1,va-powhatancounty_civicplus_06112020-771.txt
0.011911330744624138,0.7116841077804565,0.01082172617316246,0.1986410766839981,0.01175722572952509,0.03320910036563873,0.021975424140691757,1,tx-galveston2_civicplus_06112020-3436.txt
0.014498881995677948,0.7953271269798279,0.019059525802731514,0.015559151768684387,0.015825070440769196,0.09918297082185745,0.04054727405309677,1,nm-lascruces_civicplus_06092020-666.txt
0.06661241501569748,0.5064120888710022,0.07926461100578308,0.13265712559223175,0.06649281084537506,0.08042410016059875,0.06813684850931168,1,il-vernontownship_civicplus_06112020-177.txt
0.984839141368866,0.00014618968998547643,5.4517280659638345e-05,0.0013433531858026981,0.002334741409868002,0.0006229951977729797,0.010659086517989635,0,wi-riverfalls_civicplus_06092020-908.txt
0.007576900068670511,0.1665891408920288,0.017586052417755127,0.2767069637775421,0.5183137059211731,0.007397859822958708,0.005829416215419769,4,ct-bristol2_civicplus_06102020-4264.txt
0.020808139815926552,0.7800052165985107,0.013574604876339436,0.056422390043735504,0.056943319737911224,0.019672060385346413,0.05257422477006912,1,ma-hingham_civicplus_06112020-5604.txt
0.009286562912166119,0.8439988493919373,0.008204730227589607,0.03353779390454292,0.03428211435675621,0.008604311384260654,0.0620855875313282,1,ma-lincoln2_civicplus_06132020-3498.txt
0.007897411473095417,0.5332794785499573,0.008768956176936626,0.022893300279974937,0.40605100989341736,0.012359220534563065,0.008750619366765022,1,ut-kaysville_civicplus_06112020-516.txt
0.03694456070661545,0.7447260618209839,0.03456958010792732,0.08605048805475235,0.02748969942331314,0.0410461463034153,0.029173456132411957,1,wi-walworthcounty_civicplus_06092020-1018.txt
0.009166097268462181,0.25706660747528076,0.01042044349014759,0.6436901092529297,0.02153169922530651,0.04864632710814476,0.009478713385760784,3,wv-fairmont_civicplus_06102020-402.txt
0.0037050165701657534,0.9502021670341492,0.004456202499568462,0.015497720800340176,0.01306892465800047,0.00808196235448122,0.004987991414964199,1,ma-everett_civicplus_06092020-1583.txt
0.008542301133275032,0.937264621257782,0.01037684641778469,0.009363550692796707,0.010542000643908978,0.01183763425797224,0.012073097750544548,1,ma-nantucket_civicplus_06102020-8590.txt
0.010737847536802292,0.6733077764511108,0.011255612596869469,0.02613893523812294,0.2536661922931671,0.01407043356448412,0.01082322932779789,1,ut-summitcounty_civicplus_06092020-2446.txt
0.010463917627930641,0.9231749773025513,0.012964568100869656,0.015183797106146812,0.012729998677968979,0.011606280691921711,0.013876479119062424,1,ca-contracostacounty2_civicplus_06102020-2717.txt
0.021497666835784912,0.71482914686203,0.027989638969302177,0.05696616694331169,0.07037513703107834,0.023838253691792488,0.08450395613908768,1,nj-rockaway_civicplus_06102020-676.txt
0.008323282934725285,0.5441282987594604,0.15252470970153809,0.12814472615718842,0.1327189803123474,0.028739236295223236,0.00542073929682374,1,nc-wrightsvillebeach_civicplus_06112020-329.txt
0.0031446751672774553,0.8653151988983154,0.004501061048358679,0.031112968921661377,0.08250170201063156,0.00799897313117981,0.0054254126735031605,1,ca-saratoga_civicplus_06102020-649.txt
0.017578814178705215,0.84090256690979,0.05513617768883705,0.021829746663570404,0.023678293451666832,0.024348387494683266,0.01652596704661846,1,co-arapahoecounty2_civicplus_06092020-2107.txt
0.00981452688574791,0.6538428664207458,0.007673828862607479,0.06964436918497086,0.0747155249118805,0.07938993722200394,0.1049189493060112,1,va-colonialheights2_civicplus_06092020-402.txt
0.009688138961791992,0.34036558866500854,0.08657053112983704,0.5156066417694092,0.010659771971404552,0.02864101715385914,0.008468279615044594,3,ct-bristol_civicplus_06092020-4263.txt
0.019940437749028206,0.5818689465522766,0.017068656161427498,0.009792102500796318,0.024715270847082138,0.3264789581298828,0.020135577768087387,1,ca-placercounty_civicplus_06092020-3357.txt
0.11382248997688293,0.28876930475234985,0.11884395778179169,0.11918347328901291,0.11117889732122421,0.12007458508014679,0.12812727689743042,1,ct-clinton_civicplus_06102020-5655.txt
0.04762759059667587,0.7278919816017151,0.018356269225478172,0.02348252199590206,0.1581037938594818,0.014466422609984875,0.010071461088955402,1,vt-winooski_civicplus_06112020-665.txt
0.009862668812274933,0.5643941760063171,0.01533951610326767,0.33093056082725525,0.05197858437895775,0.015062212944030762,0.012432304210960865,1,ia-floydcounty_civicplus_06092020-923.txt
0.010205304250121117,0.7577840685844421,0.019378330558538437,0.020576102659106255,0.09400975704193115,0.08846571296453476,0.009580771438777447,1,wi-mountpleasant_civicplus_06112020-333.txt
0.02867855504155159,0.656506359577179,0.03279360756278038,0.08534552901983261,0.1284327507019043,0.03277409449219704,0.03546913340687752,1,fl-davie_civicplus_06092020-690.txt
0.007314752787351608,0.5789003968238831,0.10411626100540161,0.14280907809734344,0.13277935981750488,0.02456340193748474,0.009516731835901737,1,mo-bluesprings2_civicplus_06152020-1402.txt
0.0007314569666050375,0.2032608538866043,0.0007865173975005746,0.013584821484982967,0.13664810359477997,0.5930991768836975,0.0518890917301178,5,tx-westuniversityplace_civicplus_06112020-788.txt
0.005579062737524509,0.43247270584106445,0.045703399926424026,0.03452379256486893,0.46415117383003235,0.012937954626977444,0.004631832707673311,4,md-universitypark_civicplus_06112020-470.txt
0.021180016919970512,0.8015297055244446,0.008702055551111698,0.09164600819349289,0.012153866700828075,0.05546925961971283,0.00931911077350378,1,nc-sanford_civicplus_06092020-499.txt
