Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Automated_topic_id,Filename
0.032532934099435806,0.0032479343935847282,0.0050705778412520885,0.5438838601112366,0.13390624523162842,0.04273180291056633,0.1731918901205063,0.0654347836971283,3,va-powhatancounty_civicplus_06112020-771.txt
0.5860540270805359,0.06028011441230774,0.017471516504883766,0.21544542908668518,0.010598854161798954,0.08207293599843979,0.01072374451905489,0.01735338196158409,0,tx-galveston2_civicplus_06112020-3436.txt
0.5061365365982056,0.02103586681187153,0.020183587446808815,0.36910557746887207,0.01506331842392683,0.03814024478197098,0.011844681575894356,0.01849018968641758,0,nm-lascruces_civicplus_06092020-666.txt
0.282103031873703,0.07446888834238052,0.19324667751789093,0.17392076551914215,0.07147201150655746,0.06834406405687332,0.07120683044195175,0.06523774564266205,0,il-vernontownship_civicplus_06112020-177.txt
0.0001237219403265044,7.355088746408e-05,7.16990398359485e-05,0.0001477278710808605,5.7879427913576365e-05,5.727951429435052e-05,0.4187511205673218,0.5807170271873474,7,wi-riverfalls_civicplus_06092020-908.txt
0.020467612892389297,0.8179190754890442,0.00944547913968563,0.12504830956459045,0.007059526164084673,0.005613222718238831,0.00684638787060976,0.007600424345582724,1,ct-bristol2_civicplus_06102020-4264.txt
0.04445311054587364,0.03223034739494324,0.015623040497303009,0.7623617053031921,0.024643216282129288,0.020719753578305244,0.017656387761235237,0.0823124423623085,3,ma-hingham_civicplus_06112020-5604.txt
0.16064077615737915,0.009718088433146477,0.007901795208454132,0.758310854434967,0.009984005242586136,0.01019483432173729,0.01556486077606678,0.0276847705245018,3,ma-lincoln2_civicplus_06132020-3498.txt
0.02183450572192669,0.4062288999557495,0.014126874506473541,0.2810903489589691,0.009142297320067883,0.007745981216430664,0.2508312463760376,0.008999830111861229,1,ut-kaysville_civicplus_06112020-516.txt
0.42600709199905396,0.030842268839478493,0.359427809715271,0.053068455308675766,0.0485658273100853,0.024658577516674995,0.031109046190977097,0.026320958510041237,0,wi-walworthcounty_civicplus_06092020-1018.txt
0.5631071925163269,0.10937875509262085,0.18986357748508453,0.08588074892759323,0.009462941437959671,0.006923796143382788,0.010057073086500168,0.025325927883386612,0,wv-fairmont_civicplus_06102020-402.txt
0.04017505794763565,0.05955737829208374,0.006235555279999971,0.8763840198516846,0.004216987174004316,0.004144382197409868,0.003892168402671814,0.005394404754042625,3,ma-everett_civicplus_06092020-1583.txt
0.017209863290190697,0.010752532631158829,0.014554476365447044,0.9122151732444763,0.008448729291558266,0.018972549587488174,0.008903559297323227,0.0089430445805192,3,ma-nantucket_civicplus_06102020-8590.txt
0.02035866491496563,0.780397891998291,0.01189112477004528,0.14756572246551514,0.010200677439570427,0.010389364324510098,0.009537124074995518,0.009659439325332642,1,ut-summitcounty_civicplus_06092020-2446.txt
0.07219409197568893,0.05278555676341057,0.026570189744234085,0.7762648463249207,0.01441127061843872,0.03258880227804184,0.010947974398732185,0.01423730980604887,3,ca-contracostacounty2_civicplus_06102020-2717.txt
0.7358025312423706,0.043346844613552094,0.020675186067819595,0.061469513922929764,0.01837354153394699,0.034700557589530945,0.07001355290412903,0.015618249773979187,0,nj-rockaway_civicplus_06102020-676.txt
0.4765871465206146,0.14208413660526276,0.03133903816342354,0.2668602764606476,0.07246900349855423,0.0025994516909122467,0.004688101354986429,0.0033728049602359533,0,nc-wrightsvillebeach_civicplus_06112020-329.txt
0.21168683469295502,0.19411003589630127,0.0039992500096559525,0.5769370794296265,0.0028178635984659195,0.0034040275495499372,0.002902860753238201,0.0041420478373765945,3,ca-saratoga_civicplus_06102020-649.txt
0.15814512968063354,0.08589477837085724,0.21581481397151947,0.46669241786003113,0.015361635014414787,0.01708052307367325,0.02093219757080078,0.020078497007489204,3,co-arapahoecounty2_civicplus_06092020-2107.txt
0.5196974277496338,0.047648292034864426,0.24956947565078735,0.1181316077709198,0.010412451811134815,0.03714781254529953,0.006229632534086704,0.011163333430886269,0,va-colonialheights2_civicplus_06092020-402.txt
0.6909076571464539,0.01590040884912014,0.06060992181301117,0.1831859052181244,0.007138915825635195,0.006399725563824177,0.027379583567380905,0.008477858267724514,0,ct-bristol_civicplus_06092020-4263.txt
0.031256791204214096,0.010412310250103474,0.010576891712844372,0.8244406580924988,0.07566732913255692,0.011289993301033974,0.018680540844798088,0.01767551153898239,3,ca-placercounty_civicplus_06092020-3357.txt
0.11155834048986435,0.10364062339067459,0.10655337572097778,0.27096015214920044,0.10145954042673111,0.0986441895365715,0.1006430983543396,0.10654064267873764,3,ct-clinton_civicplus_06102020-5655.txt
0.019188927486538887,0.20253489911556244,0.015218791551887989,0.7045577168464661,0.01708194985985756,0.009246787056326866,0.012926639057695866,0.019244292750954628,3,vt-winooski_civicplus_06112020-665.txt
0.15893317759037018,0.025532791391015053,0.6153160333633423,0.14239265024662018,0.023675834760069847,0.00880673248320818,0.01495436392724514,0.010388434864580631,2,ia-floydcounty_civicplus_06092020-923.txt
0.0722363069653511,0.03231403976678848,0.43014806509017944,0.4228500723838806,0.010622132569551468,0.007803000975400209,0.013082638382911682,0.010943738743662834,2,wi-mountpleasant_civicplus_06112020-333.txt
0.07161801308393478,0.18043038249015808,0.04971954599022865,0.5642377138137817,0.03932050243020058,0.03845662996172905,0.029352542012929916,0.026864686980843544,3,fl-davie_civicplus_06092020-690.txt
0.5633965730667114,0.36678144335746765,0.00822439044713974,0.03591493144631386,0.006308720912784338,0.006129068788141012,0.005959098227322102,0.007285799365490675,0,mo-bluesprings2_civicplus_06152020-1402.txt
