Topic1,Topic2,Topic3,Automated_topic_id,Filename
0.1856391727924347,0.7332346439361572,0.08112616837024689,1,va-powhatancounty_civicplus_06112020-771.txt
0.9567553997039795,0.02986804023385048,0.013376599177718163,0,tx-galveston2_civicplus_06112020-3436.txt
0.817997932434082,0.16861411929130554,0.013387950137257576,0,nm-lascruces_civicplus_06092020-666.txt
0.557418704032898,0.3527204692363739,0.08986089378595352,0,il-vernontownship_civicplus_06112020-177.txt
0.16399498283863068,7.508262933697551e-05,0.8359299302101135,2,wi-riverfalls_civicplus_06092020-908.txt
0.00846242904663086,0.9796183705329895,0.011919179931282997,1,ct-bristol2_civicplus_06102020-4264.txt
0.8473339676856995,0.12237506359815598,0.03029097616672516,0,ma-hingham_civicplus_06112020-5604.txt
0.7008642554283142,0.2892370820045471,0.009898717515170574,0,ma-lincoln2_civicplus_06132020-3498.txt
0.15594148635864258,0.6055309176445007,0.23852762579917908,1,ut-kaysville_civicplus_06112020-516.txt
0.6670658588409424,0.30387529730796814,0.02905888855457306,0,wi-walworthcounty_civicplus_06092020-1018.txt
0.4864729344844818,0.5045949816703796,0.008932056836783886,1,wv-fairmont_civicplus_06102020-402.txt
0.6530866622924805,0.34259843826293945,0.004314906895160675,0,ma-everett_civicplus_06092020-1583.txt
0.6919575929641724,0.2993030846118927,0.008739312179386616,0,ma-nantucket_civicplus_06102020-8590.txt
0.03118736296892166,0.9574535489082336,0.011359154246747494,1,ut-summitcounty_civicplus_06092020-2446.txt
0.4018116593360901,0.5853559970855713,0.012832313776016235,1,ca-contracostacounty2_civicplus_06102020-2717.txt
0.4424900710582733,0.5383800864219666,0.01912984624505043,1,nj-rockaway_civicplus_06102020-676.txt
0.153731107711792,0.8420001268386841,0.004268786869943142,1,nc-wrightsvillebeach_civicplus_06112020-329.txt
0.6692306995391846,0.3272932171821594,0.0034760250709950924,0,ca-saratoga_civicplus_06102020-649.txt
0.49292314052581787,0.4779847264289856,0.029092153534293175,0,co-arapahoecounty2_civicplus_06092020-2107.txt
0.7836933732032776,0.2063254863023758,0.009981157258152962,0,va-colonialheights2_civicplus_06092020-402.txt
0.4340449571609497,0.5601016879081726,0.005853313021361828,1,ct-bristol_civicplus_06092020-4263.txt
0.8435564041137695,0.13140997290611267,0.02503366209566593,0,ca-placercounty_civicplus_06092020-3357.txt
0.4941781759262085,0.30464988946914673,0.20117197930812836,0,ct-clinton_civicplus_06102020-5655.txt
0.19792328774929047,0.6885231137275696,0.11355363577604294,1,vt-winooski_civicplus_06112020-665.txt
0.02856476977467537,0.9546229839324951,0.016812218353152275,1,ia-floydcounty_civicplus_06092020-923.txt
0.17519405484199524,0.810544490814209,0.014261473901569843,1,wi-mountpleasant_civicplus_06112020-333.txt
0.2259548008441925,0.7363833785057068,0.037661779671907425,1,fl-davie_civicplus_06092020-690.txt
0.3384985625743866,0.653529703617096,0.007971739396452904,1,mo-bluesprings2_civicplus_06152020-1402.txt
0.7758767008781433,0.2055867314338684,0.018536584451794624,0,tx-westuniversityplace_civicplus_06112020-788.txt
0.01321583241224289,0.9447847604751587,0.041999366134405136,1,md-universitypark_civicplus_06112020-470.txt
0.799397885799408,0.19002151489257812,0.010580628179013729,0,nc-sanford_civicplus_06092020-499.txt
0.0320642814040184,0.9392132759094238,0.028722476214170456,1,nj-eastamwelltownship_civicplus_06102020-737.txt
0.9342353940010071,0.0642390102148056,0.0015255744801834226,0,ca-cloverdale_civicplus_06102020-927.txt
0.7203335762023926,0.2707655429840088,0.00890091061592102,0,nj-franklintownshipgloucester_civicplus_06092020-540.txt
0.7169167399406433,0.27497056126594543,0.008112660609185696,0,tx-kemah_civicplus_06102020-443.txt
0.9255375266075134,0.070738784968853,0.0037237342912703753,0,la-shreveport_civicplus_06092020-967.txt
0.7856526970863342,0.20609219372272491,0.00825512781739235,0,ma-lincoln2_civicplus_06112020-3497.txt
0.026725996285676956,0.9605457186698914,0.012728279456496239,1,oh-athens2_civicplus_06092020-999.txt
0.6220588088035583,0.31635329127311707,0.06158793717622757,0,mo-poplarbluff_civicplus_06112020-1815.txt
0.2107410430908203,0.448859304189682,0.34039968252182007,1,ks-derbyreccommission2_civicplus_06092020-151.txt
0.2875214219093323,0.7057511210441589,0.006727435160428286,1,az-lapazcounty_civicplus_06102020-825.txt
0.5466396808624268,0.43928346037864685,0.0140768988057971,0,nh-lebanon_civicplus_06102020-2184.txt
0.8927963972091675,0.09588108956813812,0.011322556994855404,0,ma-middleton_civicplus_06122020-1668.txt
0.19711560010910034,0.734032928943634,0.06885141879320145,1,wa-bothell_civicplus_06092020-607.txt
0.006977985147386789,0.9895937442779541,0.0034283027052879333,1,me-kennebunk2_civicplus_06102020-2403.txt
0.20678862929344177,0.7632748484611511,0.029936468228697777,1,ga-avondaleestates_civicplus_06092020-1044.txt
0.9983154535293579,0.0002503489959053695,0.0014342371141538024,0,ca-wrcog_civicplus_06102020-422.txt
0.008528435602784157,0.982883632183075,0.00858797412365675,1,ny-mamakating_civicplus_06092020-770.txt
0.7155218124389648,0.25328004360198975,0.031198158860206604,0,tx-kemah_civicplus_06102020-442.txt
0.017900291830301285,0.9596184492111206,0.022481201216578484,1,ia-hardincounty_civicplus_06102020-1725.txt
0.0037526905070990324,0.9908484220504761,0.00539886299520731,1,de-newcastlecounty_civicplus_06112020-1918.txt
0.27819645404815674,0.7040472626686096,0.017756231129169464,1,ct-enfield2_civicplus_06102020-3965.txt
0.45630350708961487,0.5341926217079163,0.009503869339823723,1,ca-southgate_civicplus_06112020-1410.txt
